,#Tile,Base,Mean
0,1101,1,0.03129625330225494
1,1101,2,0.03050024159590592
2,1101,3,-0.12921802723533204
3,1101,4,0.06517421592891282
4,1101,5,0.08120133130153562
5,1101,6,0.09807287263637221
6,1101,7,0.016974996949876697
7,1101,8,0.038074812271780445
8,1101,9,0.038872005271620935
9,1101,10,-0.04358632981988819
10,1101,11,-0.10863837660386366
11,1101,12,0.08597533687282777
12,1101,13,0.07311825173795228
13,1101,14,0.08209578077487834
14,1101,15,0.04786387005602677
15,1101,16,0.02442838969599137
16,1101,17,0.05964321089567903
17,1101,18,0.06999206253029655
18,1101,19,0.05846669966780382
19,1101,20,0.057326588885970864
20,1101,21,0.0901056398410276
21,1101,22,-0.04911907285972461
22,1101,23,0.09269428787359146
23,1101,24,0.0071397044478160865
24,1101,25,0.11772412129548115
25,1101,26,0.02733834212089903
26,1101,27,0.12024481169623158
27,1101,28,0.10895467166076855
28,1101,29,0.019986623116558633
29,1101,30,0.05308179146423697
30,1101,31,0.008806009908411738
31,1101,32,0.12311563396517045
32,1101,33,0.0590625716453701
33,1101,34,0.10578960140290405
34,1101,35,0.08887797087430016
35,1101,36,0.12113298127679428
36,1101,37,0.12936727522574643
37,1101,38,0.11007921610448079
38,1101,39,0.11558768292448462
39,1101,40,0.12574283618189241
40,1101,41,0.0955309950334069
41,1101,42,0.044583894327438145
42,1101,43,-0.058529008168690666
43,1101,44,0.08127645563121888
44,1101,45,0.04162972461192993
45,1101,46,0.03326885654399803
46,1101,47,0.13513946253537057
47,1101,48,0.015084836547366365
48,1101,49,0.036030050918583356
49,1101,50,0.03631764317469077
50,1101,51,-0.0020531887344574784
51,1101,52,-0.0032426669809169084
52,1101,53,0.09765772962673935
53,1101,54,-0.04990093410847152
54,1101,55,0.021257914535134148
55,1101,56,0.03207466009827442
56,1101,57,0.04964222564615994
57,1101,58,-0.003663759239223907
58,1101,59,-0.10062995406276087
59,1101,60,0.05957971045194199
60,1101,61,0.06464088497409648
61,1101,62,-0.0351973007264732
62,1101,63,-0.017989280591102386
63,1101,64,-0.053942082325185936
64,1101,65,-0.1840626106033767
65,1101,66,-0.1325838348344064
66,1101,67,-0.04000726302616897
67,1101,68,-0.10912315971498288
68,1101,69,-0.017223446423336952
69,1101,70,-0.04831515376154272
70,1101,71,-0.12727361154351513
71,1101,72,-0.09878369296081502
72,1101,73,-0.015289948496771899
73,1101,74,-0.08143005682750726
74,1101,75,-0.1302632747555208
75,1102,1,-0.008348930597279036
76,1102,2,0.060119033080137996
77,1102,3,0.10127894683605376
78,1102,4,0.14878049040550678
79,1102,5,0.016236695705757143
80,1102,6,0.06898526815421491
81,1102,7,0.16667739255418468
82,1102,8,0.09950543154268132
83,1102,9,0.10532160422221182
