,#Quality,Count
0,12,139.0
1,13,149.0
2,14,726.0
3,15,5503.0
4,16,24890.0
5,17,66334.0
6,18,114261.0
7,19,152554.0
8,20,178611.0
9,21,201629.0
10,22,225560.0
11,23,256275.0
12,24,291070.0
13,25,332972.0
14,26,382065.0
15,27,437549.0
16,28,501040.0
17,29,577700.0
18,30,668191.0
19,31,772265.0
20,32,895924.0
21,33,1046943.0
22,34,1241440.0
23,35,1491396.0
24,36,1834544.0
25,37,2350874.0
26,38,3345759.0
27,39,6279950.0
28,40,1.361159E7
