,#Tile,Base,Mean
0,1101,1,-0.26231869403605046
1,1101,2,-0.1572613862074661
2,1101,3,-0.6361502855104817
3,1101,4,-0.6943509556276553
4,1101,5,-0.3389816596406874
5,1101,6,-0.4638517594187306
6,1101,7,-0.5594387303645689
7,1101,8,-0.809791892678632
8,1101,9,-0.7457614561622847
9,1101,10,-0.6837635843490233
10,1101,11,-0.7301432924459519
11,1101,12,-0.6524289238862551
12,1101,13,-0.45500936786113044
13,1101,14,-0.6702400161110162
14,1101,15,-0.6015328151234982
15,1101,16,-0.613078860314026
16,1101,17,-0.5281908706929741
17,1101,18,-0.5936152146183531
18,1101,19,-0.7221717844371014
19,1101,20,-0.5617636022470407
20,1101,21,-0.5507827417509006
21,1101,22,-0.678790484569177
22,1101,23,-0.5035982314522087
23,1101,24,-0.49963218846361457
24,1101,25,-0.4395138778718959
25,1101,26,-0.5114791663972085
26,1101,27,-0.466048542222552
27,1101,28,-0.5059923384163625
28,1101,29,-0.23086984808588795
29,1101,30,-0.49869012067127727
30,1101,31,-0.4487765409804041
31,1101,32,-0.5510726375390789
32,1101,33,-0.6756425892345135
33,1101,34,-0.7585175904412296
34,1101,35,-0.5417082603760051
35,1101,36,-0.5003607065399223
36,1101,37,-0.5898112762739061
37,1101,38,-0.814081243518288
38,1101,39,-0.7473608765249722
39,1101,40,-0.6269818216139171
40,1101,41,-0.5213681977842555
41,1101,42,-0.4792798290248541
42,1101,43,-0.3131143941893626
43,1101,44,-0.4927988147120459
44,1101,45,-0.32428696263740875
45,1101,46,-0.4419068590810724
46,1101,47,-0.8689268252926112
47,1101,48,-0.6435894463395684
48,1101,49,-0.7159768659229542
49,1101,50,-0.681834656804682
50,1101,51,-0.6694428362654108
51,1101,52,-0.6756709104871277
52,1101,53,-0.8273897387943308
53,1101,54,-0.6319831594252037
54,1101,55,-0.9176376516998133
55,1101,56,-1.0147053377827646
56,1101,57,-0.9032267368309235
57,1101,58,-0.8575939517640876
58,1101,59,-0.8148584188165984
59,1101,60,-0.6954978947258894
60,1101,61,-0.7426361955595766
61,1101,62,-1.1589768371145155
62,1101,63,-0.6483346379458723
63,1101,64,-1.0052197374689342
64,1101,65,-0.6782197696271481
65,1101,66,-1.0034550586207374
66,1101,67,-0.6011627097490688
67,1101,68,-0.9161725085056034
68,1101,69,-0.7697864420484279
69,1101,70,-0.9152321063681654
70,1101,71,-0.5821962818512745
71,1101,72,-0.8173099004086168
72,1101,73,-0.6781085623066332
73,1101,74,-0.8164793217650441
74,1101,75,-0.8197876565955369
75,1102,1,-0.106259011290458
76,1102,2,-0.08685082402548971
77,1102,3,-0.23462120988337887
78,1102,4,-0.5165272746097216
79,1102,5,-0.3369728318961478
80,1102,6,-0.415691522959726
81,1102,7,-0.33966239966506606
82,1102,8,-0.40938792507795085
83,1102,9,-0.43174261855055107
84,1102,10,-0.4816545463438402
85,1102,11,-0.4789142431097986
86,1102,12,-0.43454801518637254
87,1102,13,-0.2898469396443133
88,1102,14,-0.41216250163043355
89,1102,15,-0.4060851614292389
90,1102,16,-0.43026089426755476
91,1102,17,-0.2570113801178948
92,1102,18,-0.39024541194449114
93,1102,19,-0.4226426031719015
94,1102,20,-0.5218000950396373
95,1102,21,-0.37117145561015974
96,1102,22,-0.41075407654370366
97,1102,23,-0.4029974797113951
98,1102,24,-0.40459488679479705
99,1102,25,-0.3067147567212487
100,1102,26,-0.2554472303216784
101,1102,27,-0.23547151319822035
102,1102,28,-0.25294055303074714
103,1102,29,-0.29704557205636917
104,1102,30,-0.3602794024664746
105,1102,31,-0.29654471865674026
106,1102,32,-0.3453837848409478
107,1102,33,-0.32171536961987357
108,1102,34,-0.43197057374553083
109,1102,35,-0.2480246946841973
110,1102,36,-0.2883744929219745
111,1102,37,-0.33875614232284335
112,1102,38,-0.5320570717675466
113,1102,39,-0.40802832626429364
114,1102,40,-0.4889937139892808
115,1102,41,-0.3760842946229417
116,1102,42,-0.4498429265767143
117,1102,43,-0.16254457920803844
118,1102,44,-0.3512206243825631
119,1102,45,-0.33980715971379283
120,1102,46,-0.34018221254167713
121,1102,47,-0.514717661120855
122,1102,48,-0.4269502657178279
123,1102,49,-0.4572992101682374
124,1102,50,-0.5771034909371409
125,1102,51,-0.5880915395446991
126,1102,52,-0.6321970185573633
127,1102,53,-0.675230525365528
128,1102,54,-0.5612186390041316
129,1102,55,-0.5527944149996671
130,1102,56,-0.4871162119978223
131,1102,57,-0.7317314605834397
132,1102,58,-0.6253425236470989
133,1102,59,-0.45772319441682896
134,1102,60,-0.4534646217692142
135,1102,61,-0.513937563244923
136,1102,62,-0.8092211925236441
137,1102,63,-0.508914347488215
138,1102,64,-0.8922248702860216
139,1102,65,-0.5134167619266705
140,1102,66,-0.502236592594187
141,1102,67,-0.37157171336965433
142,1102,68,-0.6948157437206319
143,1102,69,-0.4345847179244444
144,1102,70,-0.675996238807933
