,#Base,N-Count
0,1,0.10065730969102768
1,2,6.382767086687605E-4
2,3,0.004151480441257316
3,4,0.006240629836437838
4,5,5.980491850131664E-4
5,6,0.0
6,7,4.290935856596709E-4
7,8,0.0
8,9,8.581871713193418E-5
9,10,0.0
10,11,1.501827549808848E-4
11,12,2.976836750513967E-4
12,13,0.0
13,14,0.0023492873814866984
14,15,1.3409174551864716E-5
15,16,3.2718385906549906E-4
16,17,3.3254752888624495E-4
17,18,2.4136514193356487E-5
18,19,0.001410645162856168
19,20,2.681834910372943E-6
20,21,0.0026657439009107053
21,22,0.00286151784936793
22,23,8.367324920363582E-4
23,24,0.0013945541533939305
24,25,0.002488742796826091
25,26,1.3409174551864716E-5
26,27,5.497761566264533E-4
27,28,0.0
28,29,0.0020784220555390307
29,30,0.002309059857831104
30,31,5.363669820745886E-6
31,32,0.0
32,33,8.715963458712067E-4
33,34,2.440469768439378E-4
34,35,5.363669820745886E-6
35,36,0.004923848895444723
36,37,0.004846075683043909
37,38,0.014382680624330093
38,39,0.006326448553569773
39,40,0.0013918723184835574
40,41,0.0015527824131059342
41,42,0.0018129203994121097
42,43,2.3331963720244606E-4
43,44,7.50913774904424E-5
44,45,0.004130025761974333
45,46,0.004095161908139484
46,47,0.02380128482955987
47,48,9.600968979135136E-4
48,49,6.409585435791334E-4
49,50,0.005782036066764066
50,51,0.0011102796528943985
51,52,0.0032798840953861094
52,53,7.750502890977807E-4
53,54,0.0021106040744635064
54,55,0.008085732254774424
55,56,0.0017324653521009212
56,57,0.06851283645529758
57,58,0.005151804862826424
58,59,0.00574985404783959
59,60,0.009901334489096907
60,61,0.006613404888979678
61,62,0.0072329087532758286
62,63,0.008096459594415916
63,64,0.009450786224154252
64,65,0.016734649840727166
65,66,0.011842982964206918
66,67,0.011421934883278365
67,68,0.01245712315868232
68,69,0.012277440219687333
69,70,0.02007085246923111
70,71,0.018676298315837177
71,72,0.015122867059593027
72,73,0.0035802496053478792
73,74,0.06502913290672313
74,75,7.616411145459158E-4
