,#Position,Illumina Universal Adapter,Illumina Small RNA Adapter,Nextera Transposase Sequence,SOLID Small RNA Adapter
0,1,2.1454679282983546E-5,0.0,0.0,0.0
1,2,2.681834910372943E-5,0.0,0.0,0.0
2,3,4.290935856596709E-5,0.0,0.0,2.681834910372943E-6
3,4,1.0727339641491772E-4,0.0,0.0,5.363669820745886E-6
4,5,1.4481908516013892E-4,0.0,0.0,8.04550473111883E-6
5,6,1.7700110408461425E-4,0.0,0.0,8.04550473111883E-6
6,7,1.9577394845722487E-4,0.0,0.0,1.0727339641491773E-5
7,8,2.2795596738170017E-4,0.0,0.0,1.3409174551864716E-5
8,9,2.601379863061755E-4,0.0,0.0,1.3409174551864716E-5
9,10,3.164565194240073E-4,0.0,0.0,1.3409174551864716E-5
10,11,3.4595670343810965E-4,0.0,0.0,1.3409174551864716E-5
11,12,4.26411750749298E-4,0.0,0.0,1.3409174551864716E-5
12,13,5.256396424330969E-4,0.0,0.0,1.87728443726106E-5
13,14,6.248675341168958E-4,0.0,0.0,1.87728443726106E-5
14,15,7.160499210695758E-4,0.0,0.0,1.87728443726106E-5
15,16,8.072323080222559E-4,0.0,0.0,1.87728443726106E-5
16,17,9.091420346164277E-4,0.0,0.0,1.87728443726106E-5
17,18,0.0010298246055832102,0.0,0.0,1.87728443726106E-5
18,19,0.0011987802049367056,0.0,0.0,1.87728443726106E-5
19,20,0.0013114172711723693,0.0,0.0,1.87728443726106E-5
20,21,0.0014696455308843728,0.0,0.0,1.87728443726106E-5
21,22,0.0016627376444312248,0.0,0.0,1.87728443726106E-5
22,23,0.0017968293899498719,0.0,0.0,1.87728443726106E-5
23,24,0.002022103522421199,0.0,0.0,1.87728443726106E-5
24,25,0.002188377286864322,0.0,2.681834910372943E-6,1.87728443726106E-5
25,26,0.00249678830155721,0.0,2.681834910372943E-6,2.1454679282983546E-5
26,27,0.0027730172973256233,0.0,2.681834910372943E-6,2.413651419335649E-5
27,28,0.003059973632735528,0.0,2.681834910372943E-6,2.413651419335649E-5
28,29,0.0033415662983246872,0.0,2.681834910372943E-6,2.413651419335649E-5
29,30,0.003596340614810117,0.0,5.363669820745886E-6,2.413651419335649E-5
30,31,0.0039074334644133785,0.0,5.363669820745886E-6,2.413651419335649E-5
31,32,0.004323117875521185,0.0,5.363669820745886E-6,2.413651419335649E-5
32,33,0.004693211093152651,0.0,8.04550473111883E-6,2.413651419335649E-5
33,34,0.005047213301321879,0.0,8.04550473111883E-6,2.413651419335649E-5
34,35,0.005398533674580735,0.0,8.04550473111883E-6,2.413651419335649E-5
35,36,0.005768626892212201,0.0,8.04550473111883E-6,2.413651419335649E-5
36,37,0.006184311303320007,0.0,8.04550473111883E-6,2.413651419335649E-5
37,38,0.006699223606111612,2.681834910372943E-6,1.0727339641491773E-5,2.681834910372943E-5
38,39,0.007189999394709861,2.681834910372943E-6,1.0727339641491773E-5,3.218201892447532E-5
39,40,0.007726366376784449,2.681834910372943E-6,1.0727339641491773E-5,3.218201892447532E-5
40,41,0.0082466423493968,2.681834910372943E-6,1.0727339641491773E-5,3.218201892447532E-5
41,42,0.009021692638494581,2.681834910372943E-6,1.0727339641491773E-5,3.218201892447532E-5
42,43,0.009625105493328493,2.681834910372943E-6,1.3409174551864716E-5,3.218201892447532E-5
43,44,0.010941886434321608,2.681834910372943E-6,1.3409174551864716E-5,3.218201892447532E-5
44,45,0.011574799473169623,2.681834910372943E-6,1.609100946223766E-5,3.75456887452212E-5
45,46,0.0123203495782533,2.681834910372943E-6,1.609100946223766E-5,3.75456887452212E-5
46,47,0.012996171975667282,2.681834910372943E-6,1.609100946223766E-5,3.75456887452212E-5
47,48,0.014025996581250493,2.681834910372943E-6,1.87728443726106E-5,3.75456887452212E-5
48,49,0.01491636577149431,2.681834910372943E-6,1.87728443726106E-5,3.75456887452212E-5
49,50,0.016034690929119827,2.681834910372943E-6,1.87728443726106E-5,3.75456887452212E-5
50,51,0.016989424157212597,2.681834910372943E-6,1.87728443726106E-5,3.75456887452212E-5
51,52,0.01812384032430035,2.681834910372943E-6,1.87728443726106E-5,3.75456887452212E-5
52,53,0.019242165481925866,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
53,54,0.02069303816843763,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
54,55,0.022109047001114542,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
55,56,0.023533101338522575,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
56,57,0.02477479090202525,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
57,58,0.026485801574843187,5.363669820745886E-6,2.1454679282983546E-5,4.022752365559415E-5
58,59,0.028172675733467767,5.363669820745886E-6,2.9500184014102376E-5,4.022752365559415E-5
59,60,0.030682873209576845,8.04550473111883E-6,2.9500184014102376E-5,4.022752365559415E-5
60,61,0.033225252704610395,8.04550473111883E-6,2.9500184014102376E-5,4.5591193476340036E-5
61,62,0.035432402835847324,8.04550473111883E-6,2.9500184014102376E-5,4.5591193476340036E-5
62,63,0.03799891884507423,8.04550473111883E-6,2.9500184014102376E-5,4.827302838671298E-5
