,#Base,N-Count
0,1,0.08362497617524911
1,2,0.036561455333114334
2,3,1.930921135468519E-4
3,4,0.00414611677143657
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,3.3791119870699084E-4
10,11,0.0
11,12,0.0
12,13,0.0
13,14,6.919134068762193E-4
14,15,2.681834910372943E-6
15,16,0.001520600394181459
16,17,0.0
17,18,0.0
18,19,0.0
19,20,8.045504731118831E-5
20,21,0.0
21,22,0.0
22,23,1.3409174551864716E-5
23,24,0.0
24,25,6.704587275932358E-5
25,26,0.0022366503152510347
26,27,7.696866192770348E-4
27,28,4.4518459512190857E-4
28,29,0.0
29,30,6.972770766969652E-4
30,31,2.0918312300908956E-4
31,32,2.6818349103729434E-4
32,33,9.761879073757512E-4
33,34,2.681834910372943E-6
34,35,5.149123027916051E-4
35,36,0.0013596902995590822
36,37,0.0
37,38,7.777321240081535E-5
38,39,6.865497370554735E-4
39,40,0.002507515641198702
40,41,6.007310199235392E-4
41,42,2.4136514193356487E-5
42,43,3.78138722362585E-4
43,44,0.0029580639061413563
44,45,5.6318533117831814E-5
45,46,0.0024243787589771407
46,47,0.0011236888274462633
47,48,2.36001472112819E-4
48,49,5.980491850131664E-4
49,50,2.869563354099049E-4
50,51,1.3409174551864716E-5
51,52,8.0186863820151E-4
52,53,3.566840430796014E-4
53,54,1.87728443726106E-5
54,55,0.00502039495221815
55,56,1.1531890114603657E-4
56,57,1.609100946223766E-5
57,58,5.363669820745886E-6
58,59,0.00240560591460453
59,60,3.2182018924475323E-4
60,61,2.0381945318834367E-4
61,62,0.0015152367243607128
62,63,1.7700110408461425E-4
63,64,8.796418506023252E-4
64,65,0.002134740588656863
65,66,2.547743164854296E-4
66,67,0.0019309211354685192
67,68,0.0015152367243607128
68,69,6.007310199235392E-4
69,70,0.0015152367243607128
70,71,0.0022741960039962556
71,72,0.0019148301260062815
72,73,2.36001472112819E-4
73,74,3.218201892447532E-5
74,75,4.934576235086216E-4
